"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.546512503E-2,-3.558532123E-1,-6.230097181E-1,-2.895864542E0,2.983421536E0
2.546812501E-2,-1.332580447E-3,-7.525688142E-1,-3.392490787E0,3.474961199E0
3.547112504E-2,2.326550098E-1,-8.536525548E-1,-3.424766248E0,3.537212870E0
4.547512502E-2,4.440389454E-1,-6.757510185E-1,-2.138814422E0,2.286555741E0
5.547812505E-2,3.072459664E-1,-8.139213091E-1,-1.803551449E0,2.002414994E0
6.548112503E-2,4.425534602E-1,-8.583847064E-1,-2.261351597E0,2.458940608E0
7.548512501E-2,-2.111648843E-1,-8.964658678E-1,-2.914974412E0,3.057011201E0
8.548812504E-2,-2.625877838E0,-2.614333972E-1,-3.717212400E0,4.558645618E0
9.549112502E-2,-2.425550037E0,-6.530512503E-1,-3.286915215E0,4.136856361E0
1.054951251E-1,-1.390603245E0,-1.118087035E0,-3.359548159E0,3.804005762E0
1.154981250E-1,5.274773240E-2,-1.095339320E0,-2.639596283E0,2.858324524E0
1.255011250E-1,2.056240627E0,-1.531029684E0,-2.235359554E0,3.401324704E0
1.355051250E-1,3.864237129E0,-1.720559870E0,-2.501330683E0,4.914194750E0
1.455081250E-1,3.189096560E0,-2.750996266E0,-2.549674292E0,4.923327769E0
1.555111250E-1,2.842707212E0,-1.639961850E0,-1.552229349E0,3.630409772E0
1.655151250E-1,2.185854687E0,-2.430806830E0,-2.200186213E0,3.940507826E0
1.755181250E-1,5.061402494E0,-4.005248874E0,2.081909904E0,6.781899630E0
1.855211250E-1,1.089447490E1,-1.588449342E0,5.452366043E0,1.228580686E1
1.955251250E-1,1.783308271E1,-8.724750343E-1,5.256206576E0,1.861203265E1
2.055281251E-1,1.982635058E1,-2.515558420E0,2.518577045E-1,1.998688680E1
2.155311250E-1,1.527213089E1,-6.522178466E0,-1.410516230E0,1.666632383E1
2.255351250E-1,5.355357812E0,-9.499878300E0,-7.111087807E0,1.301902895E1
2.355381250E-1,-1.065727090E1,-7.562510982E0,-1.369522922E1,1.892956151E1
2.455411250E-1,-1.156293795E1,-6.951864617E0,-1.237750538E1,1.830935813E1
2.555441250E-1,-4.373976340E0,-4.117863909E0,-1.211722476E1,1.352462968E1
2.655481250E-1,-2.161551028E0,-1.005394233E0,-7.642146551E0,8.005343485E0
2.755511250E-1,-4.288776268E0,1.101082748E0,2.412992118E0,5.042669537E0
2.855541250E-1,1.253006566E0,3.975216697E0,3.021362747E0,5.147912790E0
2.955581250E-1,5.417517223E0,6.126668707E0,1.939943016E0,8.405292452E0
3.055611250E-1,4.702867310E0,5.063088831E0,2.151605206E0,7.237488128E0
3.155641250E-1,3.750495921E0,3.280381536E0,2.595100726E0,5.617977434E0
3.255681250E-1,2.758117590E0,-2.668716002E-1,7.461343042E0,7.959275914E0
3.355711250E-1,7.481768243E-1,-3.014103721E0,1.109856729E1,1.152487681E1
3.455741250E-1,1.328475556E0,-4.712684785E0,1.368208935E1,1.453182075E1
3.555781250E-1,7.295878679E-1,-3.631042275E0,4.931603077E0,6.167452908E0
3.655811250E-1,-8.682960293E-1,-1.753789451E0,6.538087571E-1,2.063293804E0
3.755841251E-1,-2.729470034E0,-2.460325329E0,1.017309104E0,3.812889351E0
3.855881250E-1,-4.234880143E0,-3.193249837E0,-8.369382888E-1,5.369499050E0
3.955911250E-1,-3.711787353E0,-4.483568364E0,-1.490257049E0,6.008378875E0
4.055941250E-1,-4.263209610E0,-2.871696246E0,-2.663572206E0,5.789318820E0
4.155981250E-1,-2.855122605E0,-5.489640874E-1,-2.582532136E0,3.888773443E0
