"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.988379165E-2,-6.568753293E-1,9.993476272E-3,-3.817910224E-1,7.598351483E-1
2.988679166E-2,-5.095675948E-1,6.330254138E-2,-1.957261884E-1,5.495225985E-1
3.989079167E-2,-3.475792560E-1,9.908691645E-2,7.510163784E-2,3.691474126E-1
4.989379167E-2,-2.777941990E-1,7.224936604E-2,3.899958354E-1,4.842378956E-1
5.989679167E-2,-6.470294952E-2,1.863215268E-3,5.827908146E-1,5.863745193E-1
6.989979165E-2,1.807228178E-1,-3.536688387E-2,5.347132534E-1,5.655349827E-1
7.990279165E-2,2.899897367E-1,3.025466323E-2,2.602361798E-1,3.908097508E-1
8.990579165E-2,2.639398062E-1,7.827082872E-2,3.449857235E-4,2.753010406E-1
9.990879166E-2,1.461078858E-1,8.735827893E-2,-1.056077313E-1,2.003296686E-1
1.099117917E-1,4.746565014E-2,7.742269009E-2,-2.601601660E-1,2.755550269E-1
1.199147917E-1,-5.340788305E-2,7.789923817E-2,-3.678506756E-1,3.797825862E-1
1.299177917E-1,-4.206399232E-2,9.614752114E-2,-3.408388782E-1,3.566298727E-1
1.399207917E-1,-5.300062448E-2,7.801852137E-2,-3.206314856E-1,3.342162555E-1
1.499237917E-1,-7.248003870E-2,7.816090107E-2,-3.288579333E-1,3.457022169E-1
1.599267917E-1,-1.355314422E-1,1.072727260E-1,-3.176336181E-1,3.616176502E-1
1.699297916E-1,-2.253399968E-1,1.485660553E-1,-2.237097931E-1,3.505653412E-1
1.799327917E-1,-2.124594578E-1,1.840525147E-1,-1.153749204E-1,3.038514796E-1
1.899357917E-1,-2.762429327E-1,1.782023755E-1,-5.417386830E-2,3.331682045E-1
1.999387917E-1,-3.985953355E-1,2.077156118E-1,-1.306805921E-1,4.680827213E-1
2.099417917E-1,-5.743032888E-1,2.821875045E-1,6.086366773E-3,6.399149155E-1
2.199447917E-1,-7.472735757E-1,3.273721558E-1,1.020596409E-1,8.221961418E-1
2.299477917E-1,-8.016851333E-1,3.865521178E-1,-2.859422940E-1,9.348179439E-1
2.399507917E-1,-8.859788865E-1,4.195935640E-1,-8.724764961E-1,1.312338593E0
2.499537917E-1,-1.023988379E0,3.476514691E-1,-1.495268698E0,1.845329841E0
2.599567916E-1,-9.774109206E-1,2.368420547E-1,-2.342872308E0,2.549603286E0
2.699597917E-1,-1.027952498E0,7.343810499E-3,-3.154086941E0,3.317379192E0
2.799637917E-1,-1.217995778E0,-3.390098691E-1,-3.652897121E0,3.865501103E0
2.899667917E-1,-9.215355125E-1,-5.303567854E-1,-4.133670394E0,4.268224098E0
2.999697917E-1,1.378536639E-1,-7.187374091E-1,-4.917762718E0,4.971918869E0
3.099727917E-1,1.984380832E0,-1.345356321E0,-5.180651779E0,5.708494002E0
3.199757917E-1,2.958385603E0,-1.352998632E0,-4.238710361E0,5.343156015E0
3.299787916E-1,3.200412092E0,-2.132896163E0,-3.338888192E0,5.093138321E0
3.399817917E-1,3.612838139E0,-3.231223117E0,-1.974760846E0,5.233840144E0
3.499847917E-1,4.738499072E0,-3.030565972E0,-2.473364035E0,6.144528722E0
3.599877917E-1,4.741675280E0,-1.637430882E0,-3.351540397E0,6.033033017E0
3.699907917E-1,3.388562043E0,-3.937610622E0,-2.364836204E0,5.707852521E0
3.799937917E-1,1.509667905E0,-4.395852235E0,-7.192509116E0,8.563574104E0
3.899967917E-1,-1.373721603E0,-1.389905672E0,-8.734360242E0,8.950307126E0
3.999997917E-1,-7.338969004E-1,7.658098340E-2,-2.204657578E0,2.324862221E0
4.100027917E-1,3.194138906E0,-9.575818428E-1,5.773833096E-1,3.384207119E0
4.200057917E-1,3.043688001E0,-2.255486839E0,-1.653724734E0,4.133529125E0
4.300087916E-1,1.326538373E0,-2.094772024E0,-1.791624298E0,3.059034409E0
4.400117917E-1,5.691233135E-1,-2.208576821E0,-1.031065264E0,2.502959947E0
4.500147917E-1,2.460584360E-1,-3.509970120E0,-5.655386049E-1,3.563743665E0
4.600177917E-1,5.652205529E-1,-4.394288397E0,-8.196977735E-1,4.505679664E0
4.700200000E-1,2.110435838E0,-3.103948821E0,-1.609492886E0,4.083981520E0
4.800230000E-1,2.886913040E0,-1.553019600E0,-2.787327356E0,4.302944406E0
4.900260000E-1,1.967651363E0,-1.223627816E0,-3.533970017E0,4.225856245E0
5.000290000E-1,1.229232665E0,-8.166613144E-1,-2.663689735E0,3.045191562E0
5.100320000E-1,-3.500121363E-1,-5.314033273E-1,-1.142750006E0,1.307966196E0
5.200360000E-1,-1.759602752E0,-1.455124931E-1,4.424447751E-1,1.820201393E0
5.300390000E-1,-2.999212032E0,-8.534316396E-2,7.188151771E-1,3.085328431E0
5.400420000E-1,-2.650205763E0,-1.665319908E-1,8.070286113E-1,2.775359197E0
5.500450000E-1,-6.122861073E-1,2.396911288E-1,1.143175099E0,1.318785586E0
5.600480000E-1,1.232353178E0,1.222165574E0,-3.024209172E-1,1.761772248E0
5.700510000E-1,2.157817142E0,1.596069141E0,-1.095838380E0,2.899046960E0
5.800540000E-1,4.475874597E0,-2.384708697E-1,3.686411607E0,5.803443142E0
5.900570000E-1,3.675040819E0,-1.608115574E0,-1.458689101E0,4.268458107E0
6.000600000E-1,1.127721346E0,-1.181329570E0,-3.405420735E0,3.776795648E0
6.100630000E-1,1.104505269E0,-1.876411995E0,-5.543493730E-1,2.246810426E0
6.200660000E-1,2.568587696E0,-7.858464879E-1,1.011554859E0,2.870268400E0
6.300690000E-1,3.503138233E0,-5.555912120E-1,1.903082753E0,4.025218385E0
6.400720000E-1,2.989802985E0,-2.022102828E0,1.282580321E0,3.830513545E0
6.500750000E-1,1.310463354E0,-2.604534916E0,1.578079305E0,3.315305510E0
6.600780000E-1,-7.607455605E-1,-1.358802651E-1,3.604849380E0,3.686751457E0
6.700810000E-1,-1.549243176E-1,2.820699170E0,5.059609737E0,5.794824936E0
6.800840000E-1,8.114529070E-1,2.692484056E0,2.084590268E0,3.500491793E0
6.900870000E-1,-6.615343907E-1,2.805086227E-1,-2.422159383E0,2.526493402E0
7.000900000E-1,-3.087542996E0,-1.851225991E0,-4.829282066E0,6.023447907E0
7.100930000E-1,-5.218099102E0,-3.401339378E0,-5.515819443E0,8.319971871E0
7.200960000E-1,-5.876372793E0,-3.683145644E0,-5.674512291E0,8.960882143E0
7.300990000E-1,-5.779120148E0,-3.809876150E0,-7.041672587E0,9.874134837E0
7.401020000E-1,-5.221352493E0,-4.606729144E0,-8.245509040E0,1.079226087E1
7.501050000E-1,-4.929838972E0,-5.998831615E0,-8.631939243E0,1.161032593E1
7.601090000E-1,-4.791865148E0,-7.390240315E0,-8.295493963E0,1.209929104E1
